import time: self [us] | cumulative | imported package
import time:      1332 |       2018 |                         proto.marshal.collections.maps
import time:      3638 |       3638 |                         proto.marshal.collections.repeated
import time:      1258 |       6913 |                       proto.marshal.collections
import time:      2004 |       2004 |                       proto.marshal.rules
import time:      1131 |       1131 |                       proto.marshal.rules.bytes
import time:      1070 |       1070 |                         proto.primitives
import time:       925 |       1994 |                       proto.marshal.rules.stringy_numbers
import time:      1290 |       1290 |                         proto.datetime_helpers
import time:       883 |       2173 |                       proto.marshal.rules.dates
import time:       971 |        971 |                       proto.marshal.rules.struct
import time:       967 |        967 |                       proto.marshal.rules.wrappers
import time:       838 |        838 |                       proto.marshal.rules.field_mask
import time:      2297 |      26474 |                     proto.marshal.marshal
import time:      4127 |      30601 |                   proto.marshal
import time:        54 |      30655 |                 proto.marshal.rules
import time:       858 |      31512 |               proto.marshal.rules.message
import time:      1346 |      32858 |             proto._file_info
import time:       776 |        776 |             proto._package_info
import time:       720 |        720 |             proto.marshal.rules.enums
import time:      4039 |     102802 |           proto.enums
import time:      1815 |       1815 |           proto.fields
import time:      1698 |       1698 |             google.protobuf.json_format
import time:      1622 |       3319 |           proto.message
import time:      1061 |       1061 |           proto.modules
import time:       884 |        884 |           proto.version
import time:      1289 |     111169 |         proto
import time:       393 |        393 |             google.type
import time:      1199 |       1591 |           google.type.latlng_pb2
import time:      2732 |       4323 |         google.cloud.firestore_v1.types.document
import time:      1519 |     117010 |       google.cloud.firestore_v1.types.aggregation_result
import time:      1240 |       1240 |       google.cloud.firestore_v1.types.bloom_filter
import time:      1900 |       1900 |       google.cloud.firestore_v1.types.common
import time:      1729 |       1729 |         google.protobuf.any_pb2
import time:      2774 |       4502 |       google.cloud.firestore_v1.types.explain_stats
import time:       486 |        486 |           google.rpc
import time:      1195 |       1681 |         google.rpc.status_pb2
import time:      1216 |       1216 |         google.cloud.firestore_v1.types.pipeline
import time:      1436 |       1436 |         google.cloud.firestore_v1.types.query_profile
import time:      2302 |       2302 |         google.cloud.firestore_v1.types.write
import time:      6106 |       6106 |         google.cloud.firestore_v1.types.query
import time:      7387 |      20125 |       google.cloud.firestore_v1.types.firestore
import time:      2293 |     147068 |     google.cloud.firestore_v1.types
import time:       948 |        948 |           grpc._cython
import time:      1026 |       1026 |                   concurrent
import time:      8494 |       8494 |                   concurrent.futures._base
import time:       132 |        132 |                   _interpreters
import time:      1817 |      11468 |                 concurrent.futures
import time:      1285 |       1285 |                   signal
import time:       445 |        445 |                   fcntl
import time:        85 |         85 |                   msvcrt
import time:      1950 |       3764 |                 subprocess
import time:      1285 |       1285 |                 asyncio.constants
import time:      1807 |       1807 |                 asyncio.coroutines
import time:      1539 |       1539 |                   contextvars
import time:      2422 |       2422 |                   asyncio.format_helpers
import time:      1507 |       1507 |                     asyncio.base_futures
import time:      1431 |       1431 |                     asyncio.exceptions
import time:      1819 |       1819 |                     asyncio.base_tasks
import time:      1708 |       6464 |                   _asyncio
import time:      8831 |      19254 |                 asyncio.events
import time:      6889 |       6889 |                 asyncio.futures
import time:      1797 |       1797 |                 asyncio.protocols
import time:      4316 |       4316 |                   asyncio.transports
import time:      1163 |       1163 |                   asyncio.log
import time:      8444 |      13923 |                 asyncio.sslproto
import time:      1095 |       1095 |                     asyncio.mixins
import time:      6209 |       7304 |                   asyncio.locks
import time:      3756 |       3756 |                     asyncio.queues
import time:      4439 |       4439 |                     asyncio.timeouts
import time:     13239 |      21434 |                   asyncio.tasks
import time:      2414 |      31151 |                 asyncio.staggered
import time:      2768 |       2768 |                 asyncio.trsock
import time:     36031 |     130133 |               asyncio.base_events
import time:      5134 |       5134 |               asyncio.graph
import time:      3227 |       3227 |               asyncio.runners
import time:      8817 |       8817 |               asyncio.streams
import time:      3647 |       3647 |               asyncio.subprocess
import time:      3652 |       3652 |               asyncio.taskgroups
import time:      1408 |       1408 |               asyncio.threads
import time:      2801 |       2801 |                 _overlapped
import time:      7531 |       7531 |                 asyncio.base_subprocess
import time:     11130 |      11130 |                 asyncio.proactor_events
import time:      1999 |       1999 |                   selectors
import time:     18443 |      20442 |                 asyncio.selector_events
import time:      4472 |       4472 |                 asyncio.windows_utils
import time:     12212 |      58586 |               asyncio.windows_events
import time:      2046 |     216646 |             asyncio
import time:      1604 |       1604 |               grpc._typing
import time:      1382 |       2985 |             grpc._observability
import time:      1543 |       1543 |             pkgutil
import time:     12229 |     233402 |           grpc._cython.cygrpc
import time:      1079 |     235428 |         grpc._compression
import time:      1053 |       1053 |         grpc._runtime_protos
import time:      1107 |       1107 |         grpc._grpcio_metadata
import time:       616 |        616 |         grpc_tools
import time:       369 |        369 |         grpc_health
import time:       324 |        324 |         grpc_reflection
import time:      2582 |       2582 |               typing_extensions
import time:      1128 |       3709 |             grpc.aio._metadata
import time:      1329 |       1329 |             grpc.aio._typing
import time:      1796 |       6834 |           grpc.aio._base_call
import time:      1415 |       1415 |           grpc.aio._base_channel
import time:      1126 |       1126 |           grpc.aio._base_server
import time:      2620 |       2620 |             grpc._common
import time:      2223 |       4843 |           grpc.aio._call
import time:       808 |        808 |               grpc.aio._utils
import time:      2006 |       2813 |             grpc.aio._interceptor
import time:      1896 |       4709 |           grpc.aio._channel
import time:      1263 |       1263 |           grpc.aio._server
import time:      1329 |      21516 |         grpc.aio
import time:      4724 |     265133 |       grpc
import time:      1483 |       1483 |           google.api_core._python_version_support
import time:      1462 |       2944 |         google.api_core._python_package_support
import time:       895 |        895 |         google.api_core.version
import time:      1151 |       1151 |           importlib.metadata._text
import time:      1575 |       2726 |         importlib.metadata._adapters
import time:       134 |        134 |           _csv
import time:      1354 |       1487 |         csv
import time:    273477 |     281527 |       google.api_core
import time:      2848 |       2848 |               _wmi
import time:      1575 |       4423 |             platform
import time:      1110 |       5533 |           google.api_core.client_info
import time:      1184 |       6716 |         google.api_core.gapic_v1.client_info
import time:      1355 |       1355 |             google.rpc.error_details_pb2
import time:      1272 |       1272 |             grpc_status
import time:       664 |        664 |               grpc_status._common
import time:       991 |        991 |                   grpc._simple_stubs
import time:      1003 |       1993 |                 grpc.experimental
import time:      1099 |       1099 |                 grpc.experimental.aio
import time:       727 |       3819 |               grpc_status._async
import time:      1353 |       5835 |             grpc_status.rpc_status
import time:      2219 |      10679 |           google.api_core.exceptions
import time:      2445 |       2445 |                 google.auth.version
import time:      1158 |       1158 |                   google.auth.environment_vars
import time:      1694 |       1694 |                   google.auth.exceptions
import time:      1304 |       1304 |                     google.auth.transport
import time:      1376 |       1376 |                     google.auth._helpers
import time:      1552 |       4232 |                   google.auth.transport._http_client
import time:      1730 |       8812 |                 google.auth._default
import time:      1580 |      12836 |               google.auth
import time:      1372 |      14208 |             google.api_core.retry.retry_base
import time:      1261 |       1261 |             google.api_core.retry.retry_unary
import time:       923 |        923 |             google.api_core.retry.retry_unary_async
import time:      1025 |       1025 |             google.api_core.retry.retry_streaming
import time:      1661 |       1661 |             google.api_core.retry.retry_streaming_async
import time:      2106 |       2106 |             google.api_core.datetime_helpers
import time:      1031 |      22212 |           google.api_core.retry
import time:      1122 |       1122 |           google.api_core.timeout
import time:      3890 |      37902 |         google.api_core.gapic_v1.config
import time:       744 |        744 |           google.api_core.retry_async
import time:       872 |       1616 |         google.api_core.gapic_v1.config_async
import time:       622 |        622 |               google.auth.metrics
import time:       798 |        798 |               google.auth._credentials_base
import time:       790 |        790 |               google.auth._refresh_worker
import time:      1226 |       3435 |             google.auth.credentials
import time:       693 |        693 |                 google.auth._agent_identity_utils
import time:      1226 |       1919 |               google.auth.transport._mtls_helper
import time:       995 |        995 |               google.oauth2
import time:      2621 |       2621 |                 google.auth._constants
import time:       992 |        992 |                     google.auth.crypt.base
import time:       958 |        958 |                           cryptography.__about__
import time:      1046 |       2004 |                         cryptography
import time:       801 |        801 |                             cryptography.hazmat
import time:      1000 |       1801 |                           cryptography.hazmat.bindings
import time:      3574 |       3574 |                           _cffi_backend
import time:      4610 |       9983 |                         cryptography.hazmat.bindings._rust
import time:       898 |      12885 |                       cryptography.exceptions
import time:      1506 |       1506 |                       cryptography.hazmat.backends
import time:       914 |        914 |                       cryptography.hazmat.primitives
import time:      1140 |       1140 |                         cryptography.utils
import time:      1497 |       2636 |                       cryptography.hazmat.primitives.hashes
import time:      1661 |       1661 |                         cryptography.hazmat.primitives._serialization
import time:      1098 |       1098 |                         cryptography.hazmat.primitives.serialization.base
import time:       908 |        908 |                           cryptography.hazmat.primitives.asymmetric
import time:       987 |        987 |                             cryptography.hazmat.primitives.asymmetric.utils
import time:      1851 |       2838 |                           cryptography.hazmat.primitives.asymmetric.dsa
import time:      1699 |       1699 |                             cryptography.hazmat._oid
import time:      3272 |       4971 |                           cryptography.hazmat.primitives.asymmetric.ec
import time:      1158 |       1158 |                           cryptography.hazmat.primitives.asymmetric.ed25519
import time:       745 |        745 |                             cryptography.hazmat.primitives._asymmetric
import time:       950 |        950 |                             cryptography.hazmat.primitives.asymmetric.rsa
import time:       994 |       2689 |                           cryptography.hazmat.primitives.asymmetric.padding
import time:       793 |        793 |                             cryptography.hazmat.primitives._cipheralgorithm
import time:      1226 |       1226 |                                       cryptography.hazmat.decrepit
import time:      1319 |       2545 |                                     cryptography.hazmat.decrepit.ciphers
import time:      3369 |       5913 |                                   cryptography.hazmat.decrepit.ciphers.algorithms
import time:      1779 |       7692 |                                 cryptography.hazmat.primitives.ciphers.algorithms
import time:      1186 |       8877 |                               cryptography.hazmat.primitives.ciphers.modes
import time:      1367 |      10243 |                             cryptography.hazmat.primitives.ciphers.base
import time:      1006 |      12041 |                           cryptography.hazmat.primitives.ciphers
import time:       573 |        573 |                           bcrypt
import time:      3328 |      28503 |                         cryptography.hazmat.primitives.serialization.ssh
import time:      1014 |      32275 |                       cryptography.hazmat.primitives.serialization
import time:      1592 |       1592 |                         cryptography.x509.certificate_transparency
import time:       662 |        662 |                               cryptography.x509.oid
import time:     11104 |      11766 |                             cryptography.x509.name
import time:      1326 |      13092 |                           cryptography.x509.general_name
import time:       895 |      13986 |                         cryptography.x509.verification
import time:      1214 |       1214 |                           cryptography.hazmat.primitives.asymmetric.ed448
import time:      1321 |       1321 |                           cryptography.hazmat.primitives.asymmetric.x448
import time:      1200 |       1200 |                           cryptography.hazmat.primitives.asymmetric.x25519
import time:       880 |        880 |                             cryptography.hazmat.primitives.asymmetric.dh
import time:      1072 |       1952 |                           cryptography.hazmat.primitives.asymmetric.types
import time:       986 |        986 |                             cryptography.hazmat.primitives.constant_time
import time:      5138 |       6123 |                           cryptography.x509.extensions
import time:      2086 |      13893 |                         cryptography.x509.base
import time:      1566 |      31036 |                       cryptography.x509
import time:       863 |        863 |                             cryptography.hazmat.bindings.openssl
import time:       781 |        781 |                               cryptography.hazmat.bindings.openssl._conditional
import time:      2486 |       3266 |                             cryptography.hazmat.bindings.openssl.binding
import time:      1613 |       5742 |                           cryptography.hazmat.backends.openssl.backend
import time:      1545 |       7286 |                         cryptography.hazmat.backends.openssl
import time:        30 |       7316 |                       cryptography.hazmat.backends.openssl.backend
import time:      1610 |      90176 |                     google.auth.crypt.es
import time:       909 |        909 |                     google.auth.crypt.es256
import time:       856 |        856 |                       google.auth.crypt._cryptography_rsa
import time:       951 |       1806 |                     google.auth.crypt.rsa
import time:      1102 |      94984 |                   google.auth.crypt
import time:      1421 |      96405 |                 google.auth._service_account_info
import time:       758 |        758 |                   google.auth._exponential_backoff
import time:       917 |       1674 |                 google.auth.iam
import time:       968 |        968 |                   google.auth._cache
import time:      3213 |       4180 |                 google.auth.jwt
import time:      1211 |       1211 |                 google.oauth2._client
import time:      1573 |     107661 |               google.oauth2.service_account
import time:       999 |     111573 |             google.auth.transport.grpc
import time:      1389 |       1389 |             google.auth.transport.requests
import time:       870 |        870 |             google.api_core.general_helpers
import time:      1392 |     118656 |           google.api_core.grpc_helpers
import time:       974 |     119630 |         google.api_core.gapic_v1.method
import time:      1474 |       1474 |           google.api_core.grpc_helpers_async
import time:      1001 |       2474 |         google.api_core.gapic_v1.method_async
import time:      1073 |       1073 |         google.api_core.gapic_v1.routing_header
import time:      1754 |     171163 |       google.api_core.gapic_v1
import time:      1283 |       1283 |       google.cloud._helpers
import time:      4122 |       4122 |         grpc._channel
import time:      1259 |       5381 |       google.cloud.exceptions
import time:      1371 |       1371 |       google.cloud.firestore_v1.transforms
import time:      1528 |       1528 |       google.cloud.firestore_v1.field_path
import time:       969 |        969 |       google.cloud.firestore_v1.vector
import time:      2349 |     730700 |     google.cloud.firestore_v1._helpers
import time:      1003 |       1003 |         google.cloud.firestore_v1.base_document
import time:      1113 |       2115 |       google.cloud.firestore_v1.base_batch
import time:      1426 |       3541 |     google.cloud.firestore_v1.async_batch
import time:       748 |        748 |             google.cloud.firestore_v1.batch
import time:      1036 |       1036 |             google.cloud.firestore_v1.base_transaction
import time:       644 |        644 |                   google.api_core.bidi_base
import time:      1084 |       1727 |                 google.api_core.bidi
import time:      1927 |       3654 |               google.cloud.firestore_v1.watch
import time:      3469 |       7122 |             google.cloud.firestore_v1.document
import time:      1964 |       1964 |                   google.cloud.firestore_v1.pipeline_expressions
import time:      1017 |       2980 |                 google.cloud.firestore_v1.base_aggregation
